Threshold,TP,TN,FP,FN,Accuracy,FAR,FRR,Precision,Recall,F1
0.3,1704,1974,2,320,0.9195,0.0010,0.1581,0.9988,0.8419,0.9137
0.4,1697,1974,2,327,0.9177,0.0010,0.1616,0.9988,0.8384,0.9116
0.5,1686,1974,2,338,0.9150,0.0010,0.1670,0.9988,0.8330,0.9084
0.55,1679,1974,2,345,0.9133,0.0010,0.1705,0.9988,0.8295,0.9063
0.6,1671,1974,2,353,0.9113,0.0010,0.1744,0.9988,0.8256,0.9040
0.65,1667,1974,2,357,0.9103,0.0010,0.1764,0.9988,0.8236,0.9028
0.7,1657,1974,2,367,0.9077,0.0010,0.1813,0.9988,0.8187,0.8998
0.75,1644,1974,2,380,0.9045,0.0010,0.1877,0.9988,0.8123,0.8959
0.8,1635,1974,2,389,0.9022,0.0010,0.1922,0.9988,0.8078,0.8932
0.85,1620,1974,2,404,0.8985,0.0010,0.1996,0.9988,0.8004,0.8886
0.9,1608,1974,2,416,0.8955,0.0010,0.2055,0.9988,0.7945,0.8850
